"sys_sample_code","lab_sdg","sample_date","sample","DATA_PROVIDER"
"18LHB043","R1805157","6/4/2018 9:45","18LHB","LCI"
"18LHB043DUP","R1805157","6/4/2018 9:45","18LHB","LCI"
"18LHB043MS","R1805157","6/4/2018 9:45","18LHB","LCI"
"18LHB043MSD","R1805157","6/4/2018 9:45","18LHB","LCI"
"18LHB044","R1805157","6/4/2018 9:52","18LHB","LCI"
"18LHB047","R1805157","6/4/2018 11:51","18LHB","LCI"
"18LHB048","R1805157","6/4/2018 11:55","18LHB","LCI"
"18LHB045MS","R1805157","6/4/2018 13:21","18LHB","LCI"
"18LHB045MSD","R1805157","6/4/2018 13:21","18LHB","LCI"
"18LHB045","R1805157","6/4/2018 13:21","18LHB","LCI"
"18LHB046","R1805157","6/4/2018 13:25","18LHB","LCI"
"18LHB049","R1805157","6/4/2018 14:35","18LHB","LCI"
"18LHB049DUP","R1805157","6/4/2018 14:35","18LHB","LCI"
"18LHB050","R1805157","6/4/2018 14:40","18LHB","LCI"
"18LHB050MS","R1805157","6/4/2018 14:40","18LHB","LCI"
"18LHB050MSD","R1805157","6/4/2018 14:40","18LHB","LCI"
"18CMG011","R1805600","6/12/2018 12:16","18CMG","LCI"
"18CMG007","R1805600","6/12/2018 13:25","18CMG","LCI"
"18CMG001","R1805600","6/12/2018 14:55","18CMG","LCI"
"18CMG003","R1805600","6/12/2018 16:51","18CMG","LCI"
"18CMG005","R1805600","6/13/2018 8:10","18CMG","LCI"
"18CMG006DUP","R1805600","6/13/2018 8:15","18CMG","LCI"
"18CMG006","R1805600","6/13/2018 8:15","18CMG","LCI"
"18CMG009","R1805600","6/13/2018 9:50","18CMG","LCI"
"18CMG013","R1805600","6/13/2018 11:47","18CMG","LCI"
"18CMG015","R1805600","6/13/2018 13:06","18CMG","LCI"
"18CMG015MS","R1805600","6/13/2018 13:06","18CMG","LCI"
"18CMG015MSD","R1805600","6/13/2018 13:06","18CMG","LCI"
"18CMG016","R1805600","6/13/2018 13:11","18CMG","LCI"
"18CMG016-DUP","R1805600","6/13/2018 13:11","18CMG","LCI"
"18CMG999MS","R1805600","6/13/2018 13:11","18CMG","LCI"
"18CMG999MSD","R1805600","6/13/2018 13:11","18CMG","LCI"
"18LHB033","R1805723","6/18/2018 9:30","18LHB","LCI"
"18LHB033MS","R1805723","6/18/2018 9:30","18LHB","LCI"
"18LHB033MSD","R1805723","6/18/2018 9:30","18LHB","LCI"
"18LHB034","R1805723","6/18/2018 9:35","18LHB","LCI"
"18LHB019","R1805723","6/18/2018 12:15","18LHB","LCI"
"18LHB020","R1805723","6/18/2018 12:20","18LHB","LCI"
"18LHB020MS","R1805723","6/18/2018 12:20","18LHB","LCI"
"18LHB020MSD","R1805723","6/18/2018 12:20","18LHB","LCI"
"18LHB011MS","R1805723","6/18/2018 14:10","18LHB","LCI"
"18LHB011MSD","R1805723","6/18/2018 14:10","18LHB","LCI"
"18LHB011","R1805723","6/18/2018 14:10","18LHB","LCI"
"18LHB012DUP","R1805723","6/18/2018 14:15","18LHB","LCI"
"18LHB012","R1805723","6/18/2018 14:15","18LHB","LCI"
"18LHB099","R1805872","6/19/2018 11:06","18LHB","LCI"
"18LHB013","R1805872","6/19/2018 15:15","18LHB","LCI"
"18LHB013MS","R1805872","6/19/2018 15:15","18LHB","LCI"
"18LHB013MSD","R1805872","6/19/2018 15:15","18LHB","LCI"
"18LHB009DUP","R1805872","6/20/2018 9:45","18LHB","LCI"
"18LHB009MS","R1805872","6/20/2018 9:45","18LHB","LCI"
"18LHB009MSD","R1805872","6/20/2018 9:45","18LHB","LCI"
"18LHB009","R1805872","6/20/2018 9:45","18LHB","LCI"
