sys_sample_code,sample_date,site,location,lab_sdg,sample_source,nysdec_sample_type,chemical_name,fraction,result_value,result_unit,lab_flag,lab_anl_method_name,cas_rn,method_detection_limit,detection_limit_unit,quantitation_limit,analysis_date,equipment_blank_ssc,equipment_blank,equipment_blank_result_value,precision_ssc,precision,precision_result_value,accuracy_ssc,accuracy,accuracy_result_value,qc
082620clk1200amb,2020-08-26T16:00:00Z,clarkson,ambient,R2007842,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0814,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,08-31-2020 16:11:00,082620con1200ambeb,pass,0,082620con1200ambdup,pass,18%,083120con1200amb ms,pass,0.037,accept
082620con1200amb,2020-08-26T16:00:00Z,control,ambient,R2007842,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.022,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,08-31-2020 16:00:00,082620con1200ambeb,pass,0,082620con1200ambdup,pass,18%,083120con1200amb ms,pass,0.037,accept
082620esf1200amb,2020-08-26T16:00:00Z,esf,ambient,R2007842,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0304,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,08-31-2020 16:09:00,082620con1200ambeb,pass,0,082620con1200ambdup,pass,18%,083120con1200amb ms,pass,0.037,accept
082720clk1200amb,2020-08-27T16:00:00Z,clarkson,ambient,R2007842,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0172,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,09-03-2020 11:06:00,082620con1200ambeb,pass,0,082620con1200ambdup,pass,18%,083120con1200amb ms,pass,0.037,accept
082720con1200amb,2020-08-27T16:00:00Z,control,ambient,R2007842,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0187,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,09-03-2020 11:04:00,082620con1200ambeb,pass,0,082620con1200ambdup,pass,18%,083120con1200amb ms,pass,0.037,accept
082720esf1200amb,2020-08-27T16:00:00Z,esf,ambient,R2007842,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0208,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,09-03-2020 11:05:00,082620con1200ambeb,pass,0,082620con1200ambdup,pass,18%,083120con1200amb ms,pass,0.037,accept
082820clk1200amb,2020-08-28T16:00:00Z,clarkson,ambient,R2007842,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0166,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,09-03-2020 11:10:00,082620con1200ambeb,pass,0,082620con1200ambdup,pass,18%,083120con1200amb ms,pass,0.037,accept
082820con1200amb,2020-08-28T16:00:00Z,control,ambient,R2007842,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0164,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,09-03-2020 11:07:00,082620con1200ambeb,pass,0,082620con1200ambdup,pass,18%,083120con1200amb ms,pass,0.037,accept
082820esf1200amb,2020-08-28T16:00:00Z,esf,ambient,R2007842,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0192,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,09-03-2020 11:08:00,082620con1200ambeb,pass,0,082620con1200ambdup,pass,18%,083120con1200amb ms,pass,0.037,accept
083120clk0900eff,2020-08-31T13:00:00Z,clarkson,effluent,R2007971,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0765,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,09-03-2020 13:01:00,083120clk1200effeb,pass,0,083120clk1200effdup,fail,26%,083120con1200amb ms,pass,0.037,reject
