sys_sample_code,data_provider,sample_name,sample_matrix_code,sample_type_code,sample_source,parent_sample_code,sample_delivery_group,sample_date,sys_loc_code,start_depth,end_depth,depth_unit,chain_of_custody,sent_to_lab_date,sample_receipt_date,sampler,sampling_company_code,sampling_reason,sampling_technique,task_code,collection_quarter,composite_yn,composite_desc,sample_class,custom_field_1,custom_field_2,custom_field_3,comment.x,sample_type_desc,lab_anl_method_name,analysis_date,fraction,column_number,test_type,lab_matrix_code,analysis_location,basis,container_id,dilution_factor,prep_method,prep_date,leachate_method,leachate_date,lab_name_code,qc_level,lab_sample_id,percent_moisture,subsample_amount,subsample_amount_unit,analyst_name,instrument_id,comment.y,preservative,final_volume,final_volume_unit,cas_rn,chemical_name,result_value,result_error_delta,result_type_code,reportable_result,detect_flag,lab_qualifiers,validator_qualifiers,interpreted_qualifiers,validated_yn,method_detection_limit,reporting_detection_limit,quantitation_limit,result_unit,detection_limit_unit,tic_retention_time,minimum_detectable_conc,counting_error,uncertainty,critical_value,validation_level,result_comment,qc_original_conc,qc_spike_added,qc_spike_measured,qc_spike_recovery,qc_dup_original_conc,qc_dup_spike_added,qc_dup_spike_measured,qc_dup_spike_recovery,qc_rpd,qc_spike_lcl,qc_spike_ucl,qc_rpd_cl,qc_spike_status,qc_dup_spike_status,qc_rpd_status,lab_sdg,standard_chemical_name
082620clk1200amb,ALSRNY,082620CLK1200AMB,WS,N,Field,NA,R2007842,2020-08-26T16:00:00Z,082620CLK1200AMB,NA,NA,NA,NA,NA,2020-08-27,082420FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,standard_sample,E350.1,2020-08-30T21:22:00Z,T,NA,initial,WS,LB,NA,NA,1,NA,NA,NA,NA,ALSRNY,quant,R2007842-009,NA,10,mL,NA,NA,NA,NA,10,mL,7664-41-7,"Nitrogen, ammonia (As N)",0.009,NA,TRG,Yes,Y,J,NA,J,NA,0.003,NA,0.01,mg/l,mg/l,NA,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2007842,ammonia_nitrogen_as-n
082620clk1200amb,ALSRNY,082620CLK1200AMB,WS,N,Field,NA,R2007842,2020-08-26T16:00:00Z,082620CLK1200AMB,NA,NA,NA,NA,NA,2020-08-27,082420FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,standard_sample,E300.0,2020-08-29T22:01:00Z,T,NA,initial,WS,LB,NA,NA,10,NA,NA,NA,NA,ALSRNY,quant,R2007842-009,NA,10,mL,NA,NA,NA,NA,10,mL,16887-00-6,CHLORIDE (AS CL),47.7,NA,TRG,Yes,Y,NA,NA,NA,NA,0.5,NA,2,mg/l,mg/l,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2007842,chloride_as-cl
082620clk1200amb,ALSRNY,082620CLK1200AMB,WS,N,Field,NA,R2007842,2020-08-26T16:00:00Z,082620CLK1200AMB,NA,NA,NA,NA,NA,2020-08-27,082420FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,standard_sample,SM10200H,2020-08-28T17:00:00Z,T,NA,initial,WS,LB,NA,NA,10,METHOD,2020-08-27T17:00:00Z,NA,NA,ALSRNY,quant,R2007842-009,NA,155,mL,NA,NA,NA,NA,155,mL,479-61-8,Chlorophyll A,78.5,NA,TRG,Yes,Y,NA,NA,NA,NA,NA,NA,2.6,ug/l,ug/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2007842,chlorophyll_a
082620clk1200amb,ALSRNY,082620CLK1200AMB,WS,N,Field,NA,R2007842,2020-08-26T16:00:00Z,082620CLK1200AMB,NA,NA,NA,NA,NA,2020-08-27,082420FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,standard_sample,SM2120B,2020-08-27T04:00:00Z,T,NA,initial,WS,LB,NA,NA,1,NA,NA,NA,NA,ALSRNY,quant,R2007842-009,NA,0,mL,NA,NA,NA,NA,NA,NA,COLOR,COLOR,50,NA,TRG,Yes,Y,NA,NA,NA,NA,NA,NA,1,color unit,color unit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2007842,color
082620clk1200amb,ALSRNY,082620CLK1200AMB,WS,N,Field,NA,R2007842,2020-08-26T16:00:00Z,082620CLK1200AMB,NA,NA,NA,NA,NA,2020-08-27,082420FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,standard_sample,Calculation,2020-08-28T02:24:00Z,T,NA,initial,WS,LB,NA,NA,1,NA,NA,NA,NA,ALSRNY,quant,R2007842-009,NA,0,mL,NA,NA,NA,NA,NA,NA,14797-55-8,"NITROGEN, NITRATE (AS N)",NA,NA,TRG,Yes,N,U,NA,U,NA,NA,0.05,0.05,mg/l,mg/l,NA,NA,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2007842,nitrate_nitrogen_as-n
082620clk1200amb,ALSRNY,082620CLK1200AMB,WS,N,Field,NA,R2007842,2020-08-26T16:00:00Z,082620CLK1200AMB,NA,NA,NA,NA,NA,2020-08-27,082420FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,standard_sample,E353.2,2020-09-02T00:53:00Z,T,NA,initial,WS,LB,NA,NA,1,NA,NA,NA,NA,ALSRNY,quant,R2007842-009,NA,10,mL,NA,NA,NA,NA,10,mL,NO3NO2N,Nitrate+Nitrite as Nitrogen,NA,NA,TRG,Yes,N,U,NA,U,NA,0.0015,0.0015,0.002,mg/l,mg/l,NA,0.0015,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2007842,nitrate_nitrite_as-n
082620clk1200amb,ALSRNY,082620CLK1200AMB,WS,N,Field,NA,R2007842,2020-08-26T16:00:00Z,082620CLK1200AMB,NA,NA,NA,NA,NA,2020-08-27,082420FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,standard_sample,E353.2,2020-08-28T02:24:00Z,T,NA,initial,WS,LB,NA,NA,1,NA,NA,NA,NA,ALSRNY,quant,R2007842-009,NA,10,mL,NA,NA,NA,NA,10,mL,14797-65-0,"NITROGEN, NITRITE",NA,NA,TRG,Yes,N,U,NA,U,NA,0.007,0.007,0.01,mg/l,mg/l,NA,0.007,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2007842,nitrite_nitrogen
082620clk1200amb,ALSRNY,082620CLK1200AMB,WS,N,Field,NA,R2007842,2020-08-26T16:00:00Z,082620CLK1200AMB,NA,NA,NA,NA,NA,2020-08-27,082420FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,standard_sample,E351.2,2020-09-04T18:18:00Z,T,NA,initial,WS,LB,NA,NA,1,METHOD,2020-09-03T20:49:00Z,NA,NA,ALSRNY,quant,R2007842-009,NA,20,mL,NA,NA,NA,NA,20,mL,KN,"NITROGEN, KJELDAHL, TOTAL",2.72,NA,TRG,Yes,Y,NA,NA,NA,NA,0.1,NA,0.1,mg/l,mg/l,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2007842,total_kjeldahl_nitrogen
082620clk1200amb,ALSRNY,082620CLK1200AMB,WS,N,Field,NA,R2007842,2020-08-26T16:00:00Z,082620CLK1200AMB,NA,NA,NA,NA,NA,2020-08-27,082420FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,standard_sample,SM2120B,2020-08-28T17:00:00Z,T,NA,initial,WS,LB,NA,NA,1,NA,NA,NA,NA,ALSRNY,quant,R2007842-009,NA,0,mL,NA,NA,NA,NA,NA,NA,PHCOLOR,pH of Color Analysis,9.19,NA,TRG,Yes,Y,NA,NA,NA,NA,NA,NA,1,pH units,pH units,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2007842,ph_color
082620clk1200amb,ALSRNY,082620CLK1200AMB,WS,N,Field,NA,R2007842,2020-08-26T16:00:00Z,082620CLK1200AMB,NA,NA,NA,NA,NA,2020-08-27,082420FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,standard_sample,E365.1,2020-08-31T20:23:00Z,T,NA,initial,WS,LB,NA,NA,10,METHOD,2020-08-29T15:39:00Z,NA,NA,ALSRNY,quant,R2007842-009,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",0.278,NA,TRG,Yes,Y,NA,NA,NA,NA,0.036,NA,0.05,mg/l,mg/l,NA,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2007842,total_phosphorus_as-p
