sys_sample_code,sample_date,site,location,lab_sdg,sample_source,nysdec_sample_type,chemical_name,fraction,result_value,result_unit,lab_flag,lab_anl_method_name,cas_rn,method_detection_limit,detection_limit_unit,quantitation_limit,analysis_date,equipment_blank_ssc,equipment_blank,equipment_blank_result_value,precision_ssc,precision,precision_result_value,accuracy_ssc,accuracy,accuracy_result_value,holding_time_value,holding_time,qc
082620clk1200amb,2020-08-26T16:00:00Z,clarkson,ambient,R2007842,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0814,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-08-31T20:11:00Z,082620con1200ambeb,pass,0,082620con1200ambdup,pass,18%,083120con1200amb ms,pass,0.037,124.183333333333,pass,accept
082620con1200amb,2020-08-26T16:00:00Z,control,ambient,R2007842,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.022,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-08-31T20:00:00Z,082620con1200ambeb,pass,0,082620con1200ambdup,pass,18%,083120con1200amb ms,pass,0.037,124,pass,accept
082620esf1200amb,2020-08-26T16:00:00Z,esf,ambient,R2007842,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0304,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-08-31T20:09:00Z,082620con1200ambeb,pass,0,082620con1200ambdup,pass,18%,083120con1200amb ms,pass,0.037,124.15,pass,accept
082720clk1200amb,2020-08-27T16:00:00Z,clarkson,ambient,R2007842,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0172,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-03T15:06:00Z,082620con1200ambeb,pass,0,082620con1200ambdup,pass,18%,083120con1200amb ms,pass,0.037,167.1,pass,accept
082720con1200amb,2020-08-27T16:00:00Z,control,ambient,R2007842,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0187,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-03T15:04:00Z,082620con1200ambeb,pass,0,082620con1200ambdup,pass,18%,083120con1200amb ms,pass,0.037,167.066666666667,pass,accept
082720esf1200amb,2020-08-27T16:00:00Z,esf,ambient,R2007842,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0208,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-03T15:05:00Z,082620con1200ambeb,pass,0,082620con1200ambdup,pass,18%,083120con1200amb ms,pass,0.037,167.083333333333,pass,accept
082820clk1200amb,2020-08-28T16:00:00Z,clarkson,ambient,R2007842,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0166,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-03T15:10:00Z,082620con1200ambeb,pass,0,082620con1200ambdup,pass,18%,083120con1200amb ms,pass,0.037,143.166666666667,pass,accept
082820con1200amb,2020-08-28T16:00:00Z,control,ambient,R2007842,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0164,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-03T15:07:00Z,082620con1200ambeb,pass,0,082620con1200ambdup,pass,18%,083120con1200amb ms,pass,0.037,143.116666666667,pass,accept
082820esf1200amb,2020-08-28T16:00:00Z,esf,ambient,R2007842,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0192,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-03T15:08:00Z,082620con1200ambeb,pass,0,082620con1200ambdup,pass,18%,083120con1200amb ms,pass,0.037,143.133333333333,pass,accept
083120clk0900eff,2020-08-31T13:00:00Z,clarkson,effluent,R2007971,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0765,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-03T17:01:00Z,083120clk1200effeb,pass,0,083120clk1200effdup,fail,26%,083120con1200amb ms,pass,0.037,76.0166666666667,pass,reject
083120clk0900inf,2020-08-31T13:00:00Z,clarkson,influent,R2007971,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0337,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-03T17:00:00Z,083120clk1200effeb,pass,0,083120clk1200effdup,fail,26%,083120con1200amb ms,pass,0.037,76,pass,reject
083120clk1200amb,2020-08-31T16:00:00Z,clarkson,ambient,R2007971,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0132,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-03T16:59:00Z,083120clk1200effeb,pass,0,083120clk1200effdup,fail,26%,083120con1200amb ms,pass,0.037,72.9833333333333,pass,reject
