Order,ANALYTIC_METHOD,cas_rn,chemical_name,nobuffer,Holding,Notes
1,SM 2320 B,ALK,"ALKALINITY, TOTAL (AS CaCO3)",336,360,
2,E200.8,7429-90-5,Aluminum,4320,4344,
3,E200.8,7440-38-2,Arsenic,4320,4344,
4,E200.8,7440-43-9,Cadmium,4320,4344,
5,E200.7,7440-70-2,Calcium,4320,4344,
6,E300.0,16887-00-6,CHLORIDE (AS CL),672,696,
7,E120.1,COND,Conductivity,672,696,
8,E200.8,7440-50-8,Copper,4320,4344,
9,SM5310C,DOC,Dissolved Organic Carbon,672,696,
10,E360.1,DISS_OXYGEN,Dissolved Oxygen,0.25,99.25,"Analyzed Immediately, On-site parameter. The lab may run this as well, but HT should be applied to field measurements. Added 99 b/c will always fail."
11,E300.0,16984-48-8,Fluoride,672,696,
12,SM 2340 C,HARD,HARDNESS (AS CACO3),4320,4344,
13,E200.7,7439-89-6,Iron,4320,4344,
14,E200.8,7439-92-1,Lead,4320,4344,
15,E200.7,7439-95-4,Magnesium,4320,4344,
16,E200.7,7439-96-5,Manganese,4320,4344,
17,E1631,7439-97-6,Mercury,2160,2184,
18,E200.8,7440-02-0,Nickel,4320,4344,
19,D6919-09,7664-41-7,"Nitrogen, Ammonia (As N)",672,696,
20,E351.2,KN,"NITROGEN, KJELDAHL, TOTAL",672,696,
21,CALC,14797-55-8,"NITROGEN, NITRATE (AS N)",48,999,"RIBS samples are not run for Nitrate as a stand-alone test, it is determined by calculation (NO2/NO3 - NO2), the holding time here does not apply in most cases. Set HT limit to 999"
22,E353.2,14797-65-0,"NITROGEN, NITRITE",48,49,
23,E353.2,ARC-NO3NO2N,"Nitrogen, Nitrite + Nitrate",672,696,
24,SM 4500-H+B,PH,pH,0.25,999.25,"Analyzed Immediately, On-site parameter. The lab may run this as well, but HT should be applied to field measurements. Added 999 b/c will always fail."
25,E420.4,TOTPHEN,"Phenolics, Total Recoverable",672,696,
26,E365.1,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",672,696,
27,E365.1,PDORTHO,"Phosphorus, Dissolved Orthophosphate (As P)",48,49,
28,E200.7,7440-09-7,Potassium,4320,4344,
29,E200.8,7440-22-4,Silver,4320,4344,
30,E200.7,7440-23-5,Sodium,4320,4344,
31,E120.1,SC,Specific Conductance,672,696,
32,E300.0,14808-79-8,Sulfate (As SO4),672,696,
33,E170.1,TEMP,Temperature,0.25,999.25,"Analyzed Immediately, On-site parameter. The lab may run this as well, but HT should be applied to field measurements. Added 999 b/c will always fail."
34,SM5310C,7440-44-0,Total Carbon,672,696,
35,SM2540C,TDS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",168,192,
36,SM5310C,TOC,Total Organic Carbon,672,696,
37,SM2540B,TSO,Total Solids,168,192,
38,SM2540D,TSS,Total Suspended Solids,168,192,
39,SM2540E,TVS,Total Volatile Solids,168,192,
40,E180.1,TURB,TURBIDITY,48,49,
41,E200.8,7440-66-6,Zinc,4320,4344,
42,SM10200H,479-61-8,Chlorophyll A,672,696,This is the holding time for frozen filters. Samples must be filtered by the lab within 48 hours of collection. This is indicated in the 'prep_date' field.
43,E624,67-66-3,Chloroform,336,360,
44,E624,124-48-1,Dibromochloromethane,336,360,
45,E624,75-27-4,Bromodichloromethane,336,360,
46,E624,75-25-2,Bromoform,336,360,
