SITE_ID,BASIN,LOCATION,RIVMILE,LATITUDE,LONGITUDE,COLL_DATE_TIME,CREW,WATER_CHEM,qa_qc_type,NOTES,Yr_Visited,Survey
13-KLEI-0.1,13,KLEI,0.1,41.76936,-74.09332,7/11/2017 0:00,"Heitzman, Onion",NA,NA,NA,2017,Macro_2017
13-WPALG-3.4,13,WPALG,3.4,41.676,-74.2626,7/24/2017 0:00,"Smith, Duffy, Lendrum",NA,NA,NA,2017,Macro_2017
13-MANY-1.3,13,MANY,1.3,41.49333,-74.29389,7/25/2017 0:00,Heitzman Fagel,NA,NA,NA,2017,Macro_2017
13-WALK-60.1,13,WALK,60.1,41.29083,-74.53056,7/25/2017 0:00,"Heitzman, Fagel",NA,NA,NA,2017,Macro_2017
13-MONH-4.1,13,MONH,4.1,41.42833,-74.42389,7/26/2017 0:00,"Heitzman, Fagel",NA,NA,NA,2017,Macro_2017
13-VERK-2.9,13,VERK,2.9,41.628,-74.331,7/26/2017 0:00,"Smith, Lemley",NA,NA,NA,2017,Macro_2017
13-WALK-13.3,13,WALK,13.3,41.73004,-74.109888,7/26/2017 0:00,"Mosher, Duffy",NA,NA,NA,2017,Macro_2017
13-WALK-15,13,WALK,15,41.72124,-74.132787,7/26/2017 0:00,"Mosher, Duffy",NA,NA,NA,2017,Macro_2017
13-WALK_T44-3,13,WALK_T44,3,41.42274,-74.32401,7/26/2017 0:00,"Smith, Lemley",NA,NA,NA,2017,Macro_2017
13-WAWA-4.5,13,WAWA,4.5,41.23833,-74.41805,7/26/2017 0:00,"Smith, Lemley",NA,NA,NA,2017,Macro_2017
13-WALK-2.1,13,WALK,2.1,41.825296,-74.047202,8/3/2017 0:00,"Nye, Onion",NA,NA,NA,2017,Macro_2017
13-GUNK-0.4,13,GUNK,0.4,41.68722,-74.17278,8/24/2017 0:00,"Heitzman, Mosher, Lojpersberger",NA,NA,NA,2017,Macro_2017
13-WALK-60.1,13,WALK,60.1,41.29083,-74.53056,8/24/2017 0:00,"Heitzman, Mosher, Lojpersberger",NA,NA,NA,2017,Macro_2017
13-MONH-0.4,13,MONH,0.4,41.42361,-74.38111,8/30/2017 0:00,"Mosher, Lemley",NA,NA,NA,2017,Macro_2017
13-QKER-0.9,13,QKER,0.9,41.32722,-74.41639,8/30/2017 0:00,"Mosher, Lemley",NA,NA,NA,2017,Macro_2017
13-WALK-19,13,WALK,19,41.68306,-74.16444,8/30/2017 0:00,"Mosher, Lemley",NA,NA,NA,2017,Macro_2017
13-WALK-22.8,13,WALK,22.8,41.635,-74.18889,8/30/2017 0:00,"Mosher, Lemley",NA,NA,NA,2017,Macro_2017
13-WALK-26.9,13,WALK,26.9,41.5763,-74.1907167,8/30/2017 0:00,"Mosher, Lemley",NA,NA,NA,2017,Macro_2017
13-WALK-29.9,13,WALK,29.9,41.54217,-74.20946,8/30/2017 0:00,"Mosher, Lemley",NA,NA,NA,2017,Macro_2017
13-WALK-35.6,13,WALK,35.6,41.5025,-74.26334,8/30/2017 0:00,"Mosher, Lemley",NA,NA,NA,2017,Macro_2017
13-WALK-46.6,13,WALK,46.6,41.41222,-74.37806,8/30/2017 0:00,"Mosher, Lemley",NA,NA,NA,2017,Macro_2017
13-WALK-2.1,13,WALK,2.1,41.825296,-74.047202,9/25/2017 0:00,Duffy/Heitzman,NA,NA,NA,2017,Macro_2017
13-WCHEE-0.6,13,WCHEE,0.6,41.4086,-74.373,9/25/2017 0:00,Duffy/Heitzman,NA,NA,NA,2017,Macro_2017
13-WKLEI-0.6,13,WKLEI,0.6,41.7749,-74.0975,9/25/2017 0:00,Duffy/Heitzman,NA,NA,NA,2017,Macro_2017
13-WALK-2.1,13,WALK,2.1,-74.047202,41.825296,7/10/2018 9:16,"Heitzman,Lojpersberger,Wright,Other",X,Not_Sampled,"Slow flow, murky & debris due to trees, macrophytes indeterminate. Secchi disk 0.28. Boat site",2018,Chem_Only_2018
13-WALK-0.7,13,WALK,0.7,-74.04382,41.84705,7/10/2018 10:34,"Heitzman,Lojpersberger,Other,Wright",X,Not_Sampled,Nicer than upstream location. Sample collected in center of sturgeon pool with dam in sight but avoided getting too close.,2018,Chem_Only_2018
