sample_name,DEC_sample_type,sys_sample_code,lab_anl_method_name,analysis_date,fraction,column_number,test_type,lab_matrix_code,analysis_location,basis,container_id,dilution_factor,prep_method,prep_date,leachate_method,leachate_date,lab_name_code,qc_level,lab_sample_id,percent_moisture,subsample_amount,subsample_amount_unit,analyst_name,instrument_id,comment.x,preservative,final_volume,final_volume_unit,cas_rn,chemical_name,result_value,result_error_delta,result_type_code,reportable_result,detect_flag,lab_qualifiers,validator_qualifiers,interpreted_qualifiers,validated_yn,method_detection_limit,reporting_detection_limit,quantitation_limit,result_unit,detection_limit_unit,tic_retention_time,minimum_detectable_conc,counting_error,uncertainty,critical_value,validation_level,result_comment,qc_original_conc,qc_spike_added,qc_spike_measured,qc_spike_recovery,qc_dup_original_conc,qc_dup_spike_added,qc_dup_spike_measured,qc_dup_spike_recovery,qc_rpd,qc_spike_lcl,qc_spike_ucl,qc_rpd_cl,qc_spike_status,qc_dup_spike_status,qc_rpd_status,lab_sdg,X.data_provider,sample_matrix_code,sample_type_code,sample_source,parent_sample_code,sample_delivery_group,sample_date,sys_loc_code,start_depth,end_depth,depth_unit,chain_of_custody,sent_to_lab_date,sample_receipt_date,sampler,sampling_company_code,sampling_reason,sampling_technique,task_code,collection_quarter,composite_yn,composite_desc,sample_class,custom_field_1,custom_field_2,custom_field_3,comment.y
13-DWAR-2.0-04242018-WS,N,13-DWAR-2.0-04242018-WS,E200.8,8/3/2018 14:00,T,NA,initial,WS,LB,NA,NA,1,E200.0,7/30/2018 0:00,NA,NA,ALSRNY,quant,R1806960-005,NA,10,mL,NA,NA,NA,NA,10,mL,7440-38-2,Arsenic,1.7,NA,TRG,Yes,Y,,NA,,NA,0.39,NA,1,ug/l,ug/l,NA,0.39,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1806960,ALSRNY,WS,N,Field,,R1806960,7/24/2018 14:00,unknown,NA,NA,NA,NA,NA,7/25/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-DWAR-2.0-04242018-WS,N,13-DWAR-2.0-04242018-WS,SM10200H,8/14/2018 11:00,T,NA,initial,WS,LB,NA,NA,2,METHOD,7/25/2018 13:53,NA,NA,ALSRNY,quant,R1806960-005,NA,250,mL,NA,NA,NA,NA,250,mL,479-61-8,Chlorophyll A,13.9,NA,TRG,Yes,Y,,NA,,NA,NA,NA,0.32,ug/l,ug/l,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1806960,ALSRNY,WS,N,Field,,R1806960,7/24/2018 14:00,unknown,NA,NA,NA,NA,NA,7/25/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-DWAR-2.0-04242018-WS,N,13-DWAR-2.0-04242018-WS,SM2340B,7/30/2018 23:10,T,NA,initial,WS,LB,NA,NA,1,,7/30/2018 0:00,NA,NA,ALSRNY,quant,R1806960-005,NA,0,mL,NA,NA,NA,NA,NA,,HARD,HARDNESS (AS CACO3),104,NA,TRG,Yes,Y,,NA,,NA,NA,NA,6.62,mg/l,mg/l,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1806960,ALSRNY,WS,N,Field,,R1806960,7/24/2018 14:00,unknown,NA,NA,NA,NA,NA,7/25/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-DWAR-2.0-04242018-WS,N,13-DWAR-2.0-04242018-WS,E300.0,8/8/2018 3:46,T,NA,initial,WS,LB,NA,NA,10,,,NA,NA,ALSRNY,quant,R1806960-005,NA,10,mL,NA,NA,NA,NA,10,mL,16887-00-6,CHLORIDE (AS CL),39.3,NA,TRG,Yes,Y,,NA,,NA,0.2,NA,2,mg/l,mg/l,NA,0.2,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1806960,ALSRNY,WS,N,Field,,R1806960,7/24/2018 14:00,unknown,NA,NA,NA,NA,NA,7/25/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-DWAR-2.0-04242018-WS,N,13-DWAR-2.0-04242018-WS,E351.2,8/14/2018 15:08,T,NA,initial,WS,LB,NA,NA,1,METHOD,8/13/2018 16:43,NA,NA,ALSRNY,quant,R1806960-005,NA,20,mL,NA,NA,NA,NA,20,mL,KN,"NITROGEN, KJELDAHL, TOTAL",0.91,NA,TRG,Yes,Y,,NA,,NA,0.08,NA,0.2,mg/l,mg/l,NA,0.08,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1806960,ALSRNY,WS,N,Field,,R1806960,7/24/2018 14:00,unknown,NA,NA,NA,NA,NA,7/25/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-DWAR-2.0-04242018-WS,N,13-DWAR-2.0-04242018-WS,E365.1,8/15/2018 19:37,T,NA,initial,WS,LB,NA,NA,5,METHOD,8/10/2018 18:24,NA,NA,ALSRNY,quant,R1806960-005,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",0.123,NA,TRG,Yes,Y,,NA,,NA,0.01,NA,0.025,mg/l,mg/l,NA,0.01,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1806960,ALSRNY,WS,N,Field,,R1806960,7/24/2018 14:00,unknown,NA,NA,NA,NA,NA,7/25/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-DWAR-2.0-04242018-WS,N,13-DWAR-2.0-04242018-WS,E200.8,8/6/2018 16:19,T,NA,initial,WS,LB,NA,NA,10,E200.0,7/30/2018 0:00,NA,NA,ALSRNY,quant,R1806960-005,NA,10,mL,NA,NA,NA,NA,10,mL,7429-90-5,Aluminum,1100,NA,TRG,Yes,Y,,NA,,NA,23,NA,100,ug/l,ug/l,NA,23,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1806960,ALSRNY,WS,N,Field,,R1806960,7/24/2018 14:00,unknown,NA,NA,NA,NA,NA,7/25/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-DWAR-2.0-04242018-WS,N,13-DWAR-2.0-04242018-WS,E180.1,7/26/2018 10:30,T,NA,initial,WS,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1806960-005,NA,NA,,NA,NA,NA,NA,NA,,TURB,TURBIDITY,18.5,NA,TRG,Yes,Y,,NA,,NA,0.06,NA,0.1,ntu,ntu,NA,0.06,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1806960,ALSRNY,WS,N,Field,,R1806960,7/24/2018 14:00,unknown,NA,NA,NA,NA,NA,7/25/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-DWAR-2.0-04242018-WS,N,13-DWAR-2.0-04242018-WS,E200.7,7/30/2018 23:10,T,NA,initial,WS,LB,NA,NA,1,SW3010A,7/30/2018 0:00,NA,NA,ALSRNY,quant,R1806960-005,NA,10,mL,NA,NA,NA,NA,10,mL,7439-89-6,Iron,2040,NA,TRG,Yes,Y,,NA,,NA,13,NA,100,ug/l,ug/l,NA,13,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1806960,ALSRNY,WS,N,Field,,R1806960,7/24/2018 14:00,unknown,NA,NA,NA,NA,NA,7/25/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-DWAR-2.0-04242018-WS,N,13-DWAR-2.0-04242018-WS,E353.2,7/25/2018 14:37,T,NA,initial,WS,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1806960-005,NA,10,mL,NA,NA,NA,NA,10,mL,14797-65-0,"NITROGEN, NITRITE",NA,NA,TRG,Yes,N,U,NA,U,NA,0.007,0.007,0.01,mg/l,mg/l,NA,0.007,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1806960,ALSRNY,WS,N,Field,,R1806960,7/24/2018 14:00,unknown,NA,NA,NA,NA,NA,7/25/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-DWAR-2.0-04242018-WS,N,13-DWAR-2.0-04242018-WS,SM2540C,7/26/2018 16:25,T,NA,initial,WS,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1806960-005,NA,100,mL,NA,NA,NA,NA,100,mL,TDS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",190,NA,TRG,Yes,Y,,NA,,NA,4,NA,10,mg/l,mg/l,NA,4,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1806960,ALSRNY,WS,N,Field,,R1806960,7/24/2018 14:00,unknown,NA,NA,NA,NA,NA,7/25/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-DWAR-2.0-04242018-WS,N,13-DWAR-2.0-04242018-WS,SM 2320 B,7/28/2018 3:13,T,NA,initial,WS,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1806960-005,NA,0,mL,NA,NA,NA,NA,NA,,ALK,"ALKALINITY, TOTAL (AS CaCO3)",78,NA,TRG,Yes,Y,,NA,,NA,1,NA,2,mg/l,mg/l,NA,1,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1806960,ALSRNY,WS,N,Field,,R1806960,7/24/2018 14:00,unknown,NA,NA,NA,NA,NA,7/25/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-DWAR-2.0-04242018-WS,N,13-DWAR-2.0-04242018-WS,D6919-09,7/27/2018 23:09,T,NA,initial,WS,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1806960-005,NA,10,mL,NA,NA,NA,NA,10,mL,7664-41-7,"Nitrogen, ammonia (As N)",0.0342,NA,TRG,Yes,Y,,NA,,NA,8.00E-04,NA,0.005,mg/l,mg/l,NA,8.00E-04,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1806960,ALSRNY,WS,N,Field,,R1806960,7/24/2018 14:00,unknown,NA,NA,NA,NA,NA,7/25/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-DWAR-2.0-04242018-WS,N,13-DWAR-2.0-04242018-WS,E200.8,8/3/2018 14:00,T,NA,initial,WS,LB,NA,NA,1,E200.0,7/30/2018 0:00,NA,NA,ALSRNY,quant,R1806960-005,NA,10,mL,NA,NA,NA,NA,10,mL,7440-50-8,Copper,5.1,NA,TRG,Yes,Y,,NA,,NA,0.66,NA,1,ug/l,ug/l,NA,0.66,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1806960,ALSRNY,WS,N,Field,,R1806960,7/24/2018 14:00,unknown,NA,NA,NA,NA,NA,7/25/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
