sys_sample_code,sample_date,chemical_name,cas_rn,result_value,result_unit,Lab,lab_qualifiers,fraction,lab_sdg,sample_type_code,DEC_sample_type,qc_original_conc,qc_spike_added,qc_spike_measured,,analysis_date
16-BURT-2.2,7/26/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.2,mg/L,Smith,"NJ, U",T,byhand,N,N,,,,,cas_rn
16-BURT-2.2,7/26/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,1.3,mg/L,Smith,NJ,T,byhand,N,N,,,,,detection_limit_unit
16-BURT-2.2,7/26/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.067,mg/L,Smith,NJ,T,byhand,N,N,,,,,method_detection_limit
16-BURT-2.2,9/6/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.05,mg/L,Smith,,T,byhand,N,N,,,,,quantitation_limit
16-BURT-2.2,9/6/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.23,mg/L,Smith,,T,byhand,N,N,,,,,
16-BURT-2.2,9/6/2018,"NITROGEN, NITRATE (AS N)",,0.65,mg/L,Smith,,T,byhand,N,N,,,,,
16-BURT-2.2,9/6/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,U,T,byhand,N,N,,,,,
16-BURT-2.2,9/6/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.028,mg/L,Smith,,T,byhand,N,N,,,,,
16-BURT-2.2,9/25/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.2,mg/L,Smith,"NJ,U",T,byhand,N,N,,,,,
16-BURT-2.2,9/25/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.48,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-BURT-2.2,9/25/2018,"NITROGEN, NITRATE (AS N)",,0.39,mg/L,Smith,HT3,T,byhand,N,N,,,,,
16-BURT-2.2,9/25/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,"HT3,U",T,byhand,N,N,,,,,
16-BURT-2.2,9/25/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.07,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-BUTH-0.4,7/26/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.2,mg/L,Smith,"NJ, U",T,byhand,N,N,,,,,
16-BUTH-0.4,7/26/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,2.1,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-BUTH-0.4,7/26/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,<0.02,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-BUTH-0.4,9/6/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.05,mg/L,Smith,,T,byhand,N,N,,,,,
16-BUTH-0.4,9/6/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.14,mg/L,Smith,,T,byhand,N,N,,,,,
16-BUTH-0.4,9/6/2018,"NITROGEN, NITRATE (AS N)",,0.76,mg/L,Smith,,T,byhand,N,N,,,,,
