sys_sample_code,chemical_name,cas_rn,fraction,lab_qualifiers,lab_sdg,sample_date,result_value,result_unit,qc_original_conc,qc_spike_added,qc_spike_measured,qc_spike_status,method_detection_limit,detection_limit_unit,quantitation_limit,sample_type_code,DEC_sample_type,analysis_date
13-DWAR-2.0-04242018-WS,Arsenic,7440-38-2,TRUE,,R1806960,7/24/2018 14:00,1.7,ug/l,NA,NA,NA,,0.39,ug/l,1,N,N,8/3/2018 14:00
13-DWAR-2.0-04242018-WS,Chlorophyll A,479-61-8,TRUE,,R1806960,7/24/2018 14:00,13.9,ug/l,NA,NA,NA,,NA,ug/l,0.32,N,N,8/14/2018 11:00
13-DWAR-2.0-04242018-WS,HARDNESS (AS CACO3),HARD,TRUE,,R1806960,7/24/2018 14:00,104,mg/l,NA,NA,NA,,NA,mg/l,6.62,N,N,7/30/2018 23:10
13-DWAR-2.0-04242018-WS,CHLORIDE (AS CL),16887-00-6,TRUE,,R1806960,7/24/2018 14:00,39.3,mg/l,NA,NA,NA,,0.2,mg/l,2,N,N,8/8/2018 3:46
13-DWAR-2.0-04242018-WS,"NITROGEN, KJELDAHL, TOTAL",KN,TRUE,,R1806960,7/24/2018 14:00,0.91,mg/l,NA,NA,NA,,0.08,mg/l,0.2,N,N,8/14/2018 15:08
13-DWAR-2.0-04242018-WS,"PHOSPHORUS, TOTAL (AS P)",7723-14-0,TRUE,,R1806960,7/24/2018 14:00,0.123,mg/l,NA,NA,NA,,0.01,mg/l,0.025,N,N,8/15/2018 19:37
13-DWAR-2.0-04242018-WS,Aluminum,7429-90-5,TRUE,,R1806960,7/24/2018 14:00,1100,ug/l,NA,NA,NA,,23,ug/l,100,N,N,8/6/2018 16:19
13-DWAR-2.0-04242018-WS,TURBIDITY,TURB,TRUE,,R1806960,7/24/2018 14:00,18.5,ntu,NA,NA,NA,,0.06,ntu,0.1,N,N,7/26/2018 10:30
13-DWAR-2.0-04242018-WS,Iron,7439-89-6,TRUE,,R1806960,7/24/2018 14:00,2040,ug/l,NA,NA,NA,,13,ug/l,100,N,N,7/30/2018 23:10
13-DWAR-2.0-04242018-WS,"NITROGEN, NITRITE",14797-65-0,TRUE,U,R1806960,7/24/2018 14:00,NA,mg/l,NA,NA,NA,,0.007,mg/l,0.01,N,N,7/25/2018 14:37
13-DWAR-2.0-04242018-WS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",TDS,TRUE,,R1806960,7/24/2018 14:00,190,mg/l,NA,NA,NA,,4,mg/l,10,N,N,7/26/2018 16:25
13-DWAR-2.0-04242018-WS,"ALKALINITY, TOTAL (AS CaCO3)",ALK,TRUE,,R1806960,7/24/2018 14:00,78,mg/l,NA,NA,NA,,1,mg/l,2,N,N,7/28/2018 3:13
13-DWAR-2.0-04242018-WS,"Nitrogen, ammonia (As N)",7664-41-7,TRUE,,R1806960,7/24/2018 14:00,0.0342,mg/l,NA,NA,NA,,8.00E-04,mg/l,0.005,N,N,7/27/2018 23:09
13-DWAR-2.0-04242018-WS,Copper,7440-50-8,TRUE,,R1806960,7/24/2018 14:00,5.1,ug/l,NA,NA,NA,,0.66,ug/l,1,N,N,8/3/2018 14:00
13-DWAR-2.0-04242018-WS,Nitrogen,KN,TRUE,,R1806960,7/24/2018 14:00,1.21,mg/l,NA,NA,NA,,NA,mg/l,0.2,N,N,8/14/2018 15:08
