sys_sample_code,DEC_sample_type,lab_anl_method_name,analysis_date,fraction,column_number,test_type,lab_matrix_code,analysis_location,basis,container_id,dilution_factor,prep_method,prep_date,leachate_method,leachate_date,lab_name_code,qc_level,lab_sample_id,percent_moisture,subsample_amount,subsample_amount_unit,analyst_name,instrument_id,comment.x,preservative,final_volume,final_volume_unit,cas_rn,chemical_name,result_value,result_error_delta,result_type_code,reportable_result,detect_flag,lab_qualifiers,validator_qualifiers,interpreted_qualifiers,validated_yn,method_detection_limit,reporting_detection_limit,quantitation_limit,result_unit,detection_limit_unit,tic_retention_time,minimum_detectable_conc,counting_error,uncertainty,critical_value,validation_level,result_comment,qc_original_conc,qc_spike_added,qc_spike_measured,qc_spike_recovery,qc_dup_original_conc,qc_dup_spike_added,qc_dup_spike_measured,qc_dup_spike_recovery,qc_rpd,qc_spike_lcl,qc_spike_ucl,qc_rpd_cl,qc_spike_status,qc_dup_spike_status,qc_rpd_status,lab_sdg,X.data_provider,sample_name,sample_matrix_code,sample_type_code,sample_source,parent_sample_code,sample_delivery_group,sample_date,sys_loc_code,start_depth,end_depth,depth_unit,chain_of_custody,sent_to_lab_date,sample_receipt_date,sampler,sampling_company_code,sampling_reason,sampling_technique,task_code,collection_quarter,composite_yn,composite_desc,sample_class,custom_field_1,custom_field_2,custom_field_3,comment.y
18BLK001,N,SM 2320 B,7/9/2018 21:43,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1806132-001,NA,0,mL,NA,NA,NA,NA,NA,,ALK,"ALKALINITY, TOTAL (AS CaCO3)",16.4,NA,TRG,Yes,Y,,NA,,NA,1,NA,2,mg/l,mg/l,NA,1,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1806132,ALSRNY,18BLK001,WA,N,Field,,R1806132,6/27/2018 9:45,18BLK001,NA,NA,NA,NA,NA,6/28/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
18BLK001,N,D6919-09,7/10/2018 17:34,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1806132-001,NA,10,mL,NA,NA,NA,NA,10,mL,7664-41-7,"Nitrogen, ammonia (As N)",0.0074,NA,TRG,Yes,Y,,NA,,NA,8.00E-04,NA,0.005,mg/l,mg/l,NA,8.00E-04,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1806132,ALSRNY,18BLK001,WA,N,Field,,R1806132,6/27/2018 9:45,18BLK001,NA,NA,NA,NA,NA,6/28/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
18BLK001,N,SM5310C,7/11/2018 18:14,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1806132-001,NA,42,mL,NA,NA,NA,NA,42,mL,TOC,TOTAL ORGANIC CARBON,4,NA,TRG,Yes,Y,,NA,,NA,0.05,NA,1,mg/l,mg/l,NA,0.05,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1806132,ALSRNY,18BLK001,WA,N,Field,,R1806132,6/27/2018 9:45,18BLK001,NA,NA,NA,NA,NA,6/28/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
18BLK001,N,SM10200H,7/17/2018 9:30,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1806132-001,NA,500,mL,NA,NA,NA,NA,NA,,479-61-8,Chlorophyll A,2.02,NA,TRG,Yes,Y,,NA,,NA,NA,NA,0.08,ug/l,ug/l,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1806132,ALSRNY,18BLK001,WA,N,Field,,R1806132,6/27/2018 9:45,18BLK001,NA,NA,NA,NA,NA,6/28/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
18BLK001,N,SM2120B,6/28/2018 13:00,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1806132-001,NA,0,mL,NA,NA,NA,NA,NA,,COLOR,"Color, True",21,NA,TRG,Yes,Y,,NA,,NA,NA,NA,1,color unit,color unit,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1806132,ALSRNY,18BLK001,WA,N,Field,,R1806132,6/27/2018 9:45,18BLK001,NA,NA,NA,NA,NA,6/28/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
18BLK001,N,E353.2,7/11/2018 12:21,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1806132-001,NA,10,mL,NA,NA,NA,NA,10,mL,NO3NO2N,Nitrate+Nitrite as Nitrogen,0.0041,NA,TRG,Yes,Y,,NA,,NA,7.00E-04,NA,0.002,mg/l,mg/l,NA,7.00E-04,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1806132,ALSRNY,18BLK001,WA,N,Field,,R1806132,6/27/2018 9:45,18BLK001,NA,NA,NA,NA,NA,6/28/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
18BLK001,N,E351.2,7/10/2018 11:14,T,NA,initial,WA,LB,NA,NA,1,METHOD,7/9/2018 15:43,NA,NA,ALSRNY,quant,R1806132-001,NA,20,mL,NA,NA,NA,NA,20,mL,KN,"NITROGEN, KJELDAHL, TOTAL",0.32,NA,TRG,Yes,Y,,NA,,NA,0.08,NA,0.1,mg/l,mg/l,NA,0.08,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1806132,ALSRNY,18BLK001,WA,N,Field,,R1806132,6/27/2018 9:45,18BLK001,NA,NA,NA,NA,NA,6/28/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
18BLK001,N,SM2120B,6/28/2018 10:00,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1806132-001,NA,0,mL,NA,NA,NA,NA,NA,,PHCOLOR,pH of Color Analysis,7.32,NA,TRG,Yes,Y,,NA,,NA,NA,NA,NA,pH units,pH units,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1806132,ALSRNY,18BLK001,WA,N,Field,,R1806132,6/27/2018 9:45,18BLK001,NA,NA,NA,NA,NA,6/28/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
18BLK001,N,E365.1,7/3/2018 10:03,T,NA,initial,WA,LB,NA,NA,2,METHOD,7/2/2018 18:10,NA,NA,ALSRNY,quant,R1806132-001,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",NA,NA,TRG,Yes,N,U,NA,U,NA,0.004,0.004,0.01,mg/l,mg/l,NA,0.004,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1806132,ALSRNY,18BLK001,WA,N,Field,,R1806132,6/27/2018 9:45,18BLK001,NA,NA,NA,NA,NA,6/28/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
18BLK001,N,E300.0,7/3/2018 15:09,T,NA,initial,WA,LB,NA,NA,10,,,NA,NA,ALSRNY,quant,R1806132-001,NA,10,mL,NA,NA,NA,NA,10,mL,14808-79-8,SULFATE (AS SO4),2.8,NA,TRG,Yes,Y,,NA,,NA,0.2,NA,2,mg/l,mg/l,NA,0.2,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1806132,ALSRNY,18BLK001,WA,N,Field,,R1806132,6/27/2018 9:45,18BLK001,NA,NA,NA,NA,NA,6/28/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
