"Project_name","SiteID","sys_sample_code","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers"
"FingerLakes RAS 2018","07-AIND-1.6","07-AIND-1.6-08012018-WS","ALKALINITY, TOTAL (AS CaCO3)",2018-08-01 08:45:00,"ALK",TRUE,195,"mg/l",1,"mg/l",2,"","A",""
"FingerLakes RAS 2018","07-AIND-1.6","07-AIND-1.6-08012018-WS","Aluminum",2018-08-01 08:45:00,"7429-90-5",TRUE,112,"ug/l",2.3,"ug/l",10,"","A",""
"FingerLakes RAS 2018","07-AIND-1.6","07-AIND-1.6-08012018-WS","Arsenic",2018-08-01 08:45:00,"7440-38-2",TRUE,0.75,"ug/l",0.39,"ug/l",1,"J","J","estimated value due to lab error"
"FingerLakes RAS 2018","07-AIND-1.6","07-AIND-1.6-08012018-WS","Cadmium",2018-08-01 08:45:00,"7440-43-9",TRUE,NA,"ug/l",0.064,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"FingerLakes RAS 2018","07-AIND-1.6","07-AIND-1.6-08012018-WS","Calcium",2018-08-01 08:45:00,"7440-70-2",TRUE,78700,"ug/l",110,"ug/l",1000,"","A",""
"FingerLakes RAS 2018","07-AIND-1.6","07-AIND-1.6-08012018-WS","CHLORIDE (AS CL)",2018-08-01 08:45:00,"16887-00-6",TRUE,61.6,"mg/l",0.2,"mg/l",2,"","A",""
"FingerLakes RAS 2018","07-AIND-1.6","07-AIND-1.6-08012018-WS","Copper",2018-08-01 08:45:00,"7440-50-8",TRUE,2.1,"ug/l",0.66,"ug/l",1,"","A",""
"FingerLakes RAS 2018","07-AIND-1.6","07-AIND-1.6-08012018-WS","HARDNESS (AS CACO3)",2018-08-01 08:45:00,"HARD",TRUE,263,"mg/l",NA,"mg/l",6.62,"","A",""
"FingerLakes RAS 2018","07-AIND-1.6","07-AIND-1.6-08012018-WS","Iron",2018-08-01 08:45:00,"7439-89-6",TRUE,178,"ug/l",13,"ug/l",100,"","A",""
"FingerLakes RAS 2018","07-AIND-1.6","07-AIND-1.6-08012018-WS","Lead",2018-08-01 08:45:00,"7439-92-1",TRUE,0.18,"ug/l",0.067,"ug/l",1,"J","J","estimated value due to lab error"
