"Project_name","SiteID","sys_sample_code","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers"
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","ALKALINITY, TOTAL (AS CaCO3)",2018-08-01 11:45:00,"ALK","T",9.2,"mg/l",1,"mg/l",2,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","Aluminum",2018-08-01 11:45:00,"7429-90-5","D",16.3,"ug/l",2.3,"ug/l",10,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","Arsenic",2018-08-01 11:45:00,"7440-38-2","T",NA,"ug/l",0.39,"ug/l",1,"U","R","Analyte was analyzed for but not detected ; Precision error"
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","Cadmium",2018-08-01 11:45:00,"7440-43-9","D",NA,"ug/l",0.064,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","Calcium",2018-08-01 11:45:00,"7440-70-2","T",64300,"ug/l",110,"ug/l",1000,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","Carbon, Dissolved Organic (DOC)",2018-08-01 11:45:00,"DOC","D",4.5,"mg/l",0.05,"mg/l",1,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","CHLORIDE (AS CL)",2018-08-01 11:45:00,"16887-00-6","T",1290,"mg/l",5,"mg/l",80,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","Copper",2018-08-01 11:45:00,"7440-50-8","D",15.5,"ug/l",0.66,"ug/l",1,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","Copper",2018-08-01 11:45:00,"7440-50-8","T",15.4,"ug/l",0.66,"ug/l",1,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","Fluoride, undistilled",2018-08-01 11:45:00,"16984-48-8","T",NA,"mg/l",0.004,"mg/l",0.1,"U","U","Analyte was analyzed for but not detected"
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","HARDNESS (AS CACO3)",2018-08-01 11:45:00,"HARD","T",240,"mg/l",NA,"mg/l",6.62,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","Iron",2018-08-01 11:45:00,"7439-89-6","T",79,"ug/l",13,"ug/l",100,"J","J","estimated value due to lab error"
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","Lead",2018-08-01 11:45:00,"7439-92-1","D",0.084,"ug/l",0.067,"ug/l",1,"J","J","estimated value due to lab error"
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","Lead",2018-08-01 11:45:00,"7439-92-1","T",0.1,"ug/l",0.067,"ug/l",1,"J","J","estimated value due to lab error"
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","Magnesium",2018-08-01 11:45:00,"7439-95-4","T",19300,"ug/l",29,"ug/l",1000,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","Manganese",2018-08-01 11:45:00,"7439-96-5","T",208,"ug/l",1.7,"ug/l",10,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","Nickel",2018-08-01 11:45:00,"7440-02-0","D",7.5,"ug/l",0.26,"ug/l",1,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","Nitrate+Nitrite as Nitrogen",2018-08-01 11:45:00,"NO3NO2N","T",30.8,"mg/l",0.026,"mg/l",0.08,"","R","Precision error"
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","Nitrogen",2018-08-01 11:45:00,"KN","T",32.1,"mg/l",NA,"mg/l",0.1,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","Nitrogen, ammonia (As N)",2018-08-01 11:45:00,"7664-41-7","T",0.237,"mg/l",8e-04,"mg/l",0.005,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","NITROGEN, KJELDAHL, TOTAL",2018-08-01 11:45:00,"KN","T",1.29,"mg/l",0.08,"mg/l",0.1,"","J","estimated value due to Equipment Blank error"
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","NITROGEN, NITRATE (AS N)",2018-08-01 11:45:00,"14797-55-8","T",30.7,"mg/l",NA,"mg/l",0.01,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","NITROGEN, NITRITE",2018-08-01 11:45:00,"14797-65-0","T",0.063,"mg/l",0.007,"mg/l",0.01,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","Orthophosphate as Phosphorus, Dissolved",2018-08-01 11:45:00,"PDORTHO","D",0.145,"mg/l",0.0014,"mg/l",0.005,"","J","estimated value due to Equipment Blank error"
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","PHOSPHORUS, TOTAL (AS P)",2018-08-01 11:45:00,"7723-14-0","T",0.218,"mg/l",0.02,"mg/l",0.05,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","Potassium",2018-08-01 11:45:00,"7440-09-7","T",33700,"ug/l",70,"ug/l",2000,"E","J","estimated value due to lab error"
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","Silver",2018-08-01 11:45:00,"7440-22-4","T",NA,"ug/l",0.039,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","Sodium",2018-08-01 11:45:00,"7440-23-5","T",779000,"ug/l",440,"ug/l",10000,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","SULFATE (AS SO4)",2018-08-01 11:45:00,"14808-79-8","T",68.8,"mg/l",0.2,"mg/l",2,"","R","Accuracy error"
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",2018-08-01 11:45:00,"TDS","T",2440,"mg/l",15,"mg/l",40,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","TURBIDITY",2018-08-01 11:45:00,"TURB","T",1.61,"ntu",0.06,"ntu",0.1,"","R","Equipment Blank error"
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","Zinc",2018-08-01 11:45:00,"7440-66-6","D",24.2,"ug/l",2.5,"ug/l",5,"N","R","lab error ; Accuracy error"
"Ramapo RAS 2018","15-KJSTP-001","15-KFSTP-001-08012018-WS","Zinc",2018-08-01 11:45:00,"7440-66-6","T",25.2,"ug/l",2.5,"ug/l",5,"","R","Accuracy error"
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","ALKALINITY, TOTAL (AS CaCO3)",2018-07-23 10:15:00,"ALK","T",7.2,"mg/l",1,"mg/l",2,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","Aluminum",2018-07-23 10:15:00,"7429-90-5","D",22.6,"ug/l",2.3,"ug/l",10,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","Arsenic",2018-07-23 10:15:00,"7440-38-2","T",0.4,"ug/l",0.39,"ug/l",1,"J","R","estimated value due to lab error ; Precision error"
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","Cadmium",2018-07-23 10:15:00,"7440-43-9","D",NA,"ug/l",0.064,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","Calcium",2018-07-23 10:15:00,"7440-70-2","T",58400,"ug/l",110,"ug/l",1000,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","Carbon, Dissolved Organic (DOC)",2018-07-23 10:15:00,"DOC","D",6.1,"mg/l",0.05,"mg/l",1,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","CHLORIDE (AS CL)",2018-07-23 10:15:00,"16887-00-6","T",259,"mg/l",0.5,"mg/l",8,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","Copper",2018-07-23 10:15:00,"7440-50-8","D",8.1,"ug/l",0.66,"ug/l",1,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","Copper",2018-07-23 10:15:00,"7440-50-8","T",9.1,"ug/l",0.66,"ug/l",1,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","Fluoride, undistilled",2018-07-23 10:15:00,"16984-48-8","T",NA,"mg/l",0.004,"mg/l",0.1,"U","U","Analyte was analyzed for but not detected"
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","HARDNESS (AS CACO3)",2018-07-23 10:15:00,"HARD","T",222,"mg/l",NA,"mg/l",6.62,"","A",""
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","Iron",2018-07-23 10:15:00,"7439-89-6","T",90.4,"ug/l",13,"ug/l",100,"J","J","estimated value due to lab error"
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","Lead",2018-07-23 10:15:00,"7439-92-1","T",0.24,"ug/l",0.067,"ug/l",1,"J","J","estimated value due to lab error"
"Ramapo RAS 2018","15-KJSTP-001","15-KJSTP-001-07232018-WS","Lead",2018-07-23 10:15:00,"7439-92-1","D",0.12,"ug/l",0.067,"ug/l",1,"J","J","estimated value due to lab error"
