sys_sample_code,site,chemical_name,sample_date,cas_rn,fraction,result_value,result_unit,method_detection_limit,detection_limit_unit,quantitation_limit,lab_qualifiers,validator_qualifiers,interpreted_qualifiers
13-DWAR-2.0-04242018-WS,13-DWAR-2.0,"ALKALINITY, TOTAL (AS CaCO3)",7/24/2018,ALK,TRUE,78,mg/l,1,mg/l,2,,A,
13-DWAR-2.0-04242018-WS,13-DWAR-2.0,Aluminum,7/24/2018,7429-90-5,TRUE,1100,ug/l,23,ug/l,100,,A,
13-DWAR-2.0-04242018-WS,13-DWAR-2.0,Arsenic,7/24/2018,7440-38-2,TRUE,1.7,ug/l,0.39,ug/l,1,,A,
13-DWAR-2.0-04242018-WS,13-DWAR-2.0,Cadmium,7/24/2018,7440-43-9,TRUE,NA,ug/l,0.064,ug/l,1,U,U,Analyte was analyzed for but not detected
13-DWAR-2.0-04242018-WS,13-DWAR-2.0,Calcium,7/24/2018,7440-70-2,TRUE,31700,ug/l,110,ug/l,1000,E,J,estimated value due to lab error
13-DWAR-2.0-04242018-WS,13-DWAR-2.0,CHLORIDE (AS CL),7/24/2018,16887-00-6,TRUE,39.3,mg/l,0.2,mg/l,2,,A,
13-DWAR-2.0-04242018-WS,13-DWAR-2.0,Chlorophyll A,7/24/2018,479-61-8,TRUE,13.9,ug/l,NA,ug/l,0.32,,A,
13-DWAR-2.0-04242018-WS,13-DWAR-2.0,Copper,7/24/2018,7440-50-8,TRUE,5.1,ug/l,0.66,ug/l,1,,A,
13-DWAR-2.0-04242018-WS,13-DWAR-2.0,HARDNESS (AS CACO3),7/24/2018,HARD,TRUE,104,mg/l,NA,mg/l,6.62,,A,
13-DWAR-2.0-04242018-WS,13-DWAR-2.0,Iron,7/24/2018,7439-89-6,TRUE,2040,ug/l,13,ug/l,100,,A,
13-DWAR-2.0-04242018-WS,13-DWAR-2.0,Lead,7/24/2018,7439-92-1,TRUE,1.9,ug/l,0.067,ug/l,1,,A,
13-DWAR-2.0-04242018-WS,13-DWAR-2.0,Magnesium,7/24/2018,7439-95-4,TRUE,6100,ug/l,29,ug/l,1000,E,J,estimated value due to lab error
13-DWAR-2.0-04242018-WS,13-DWAR-2.0,Nickel,7/24/2018,7440-02-0,TRUE,3,ug/l,0.26,ug/l,1,,A,
13-DWAR-2.0-04242018-WS,13-DWAR-2.0,Nitrate+Nitrite as Nitrogen,7/24/2018,NO3NO2N,TRUE,0.298,mg/l,7.00E-04,mg/l,0.002,,R,Accuracy error
13-DWAR-2.0-04242018-WS,13-DWAR-2.0,Nitrogen,7/24/2018,KN,TRUE,1.21,mg/l,NA,mg/l,0.2,,A,
13-DWAR-2.0-04242018-WS,13-DWAR-2.0,"Nitrogen, ammonia (As N)",7/24/2018,7664-41-7,TRUE,0.0342,mg/l,8.00E-04,mg/l,0.005,,R,Precision error
13-DWAR-2.0-04242018-WS,13-DWAR-2.0,"NITROGEN, KJELDAHL, TOTAL",7/24/2018,KN,TRUE,0.91,mg/l,0.08,mg/l,0.2,,A,
13-DWAR-2.0-04242018-WS,13-DWAR-2.0,"NITROGEN, NITRATE (AS N)",7/24/2018,14797-55-8,TRUE,0.298,mg/l,NA,mg/l,0.01,,A,
13-DWAR-2.0-04242018-WS,13-DWAR-2.0,"NITROGEN, NITRITE",7/24/2018,14797-65-0,TRUE,NA,mg/l,0.007,mg/l,0.01,U,U,Analyte was analyzed for but not detected
13-DWAR-2.0-04242018-WS,13-DWAR-2.0,"PHOSPHORUS, TOTAL (AS P)",7/24/2018,7723-14-0,TRUE,0.123,mg/l,0.01,mg/l,0.025,,A,
13-DWAR-2.0-04242018-WS,13-DWAR-2.0,Silver,7/24/2018,7440-22-4,TRUE,NA,ug/l,0.039,ug/l,1,U,U,Analyte was analyzed for but not detected
13-DWAR-2.0-04242018-WS,13-DWAR-2.0,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",7/24/2018,TDS,TRUE,190,mg/l,4,mg/l,10,,A,
13-DWAR-2.0-04242018-WS,13-DWAR-2.0,TURBIDITY,7/24/2018,TURB,TRUE,18.5,ntu,0.06,ntu,0.1,,A,
