"Client","Project","Service Request","Sample","Lab Code","Date Collected","Date Received","Date Extracted","Date Analyzed","Extraction Method","Analysis Method","Matrix","Basis","Units","CAS_No","Component","Dilution Factor","Reporting Limit","Detection Limit","Result","Result Notes"
"Riverkeepers, Inc","PEERS - Riverkeeper","R1806421","13-RIOG-T1-0.8-07102018-W","R1806421-001","07/10/2018","07/11/2018","NA","07/18/2018","","ASTM D6919-09","Water","NA","mg/L","7664-41-7","Ammonia as Nitrogen","1","0.0050","0.0008","0.0425","="
"Riverkeepers, Inc","PEERS - Riverkeeper","R1806421","13-RIOG-T1-0.8-07102018-W","R1806421-001","07/10/2018","07/11/2018","NA","07/11/2018","","Calculation","Water","NA","mg/L","14797-55-8","Nitrate as Nitrogen","1","0.0100","0.0100","0.563","="
"Riverkeepers, Inc","PEERS - Riverkeeper","R1806421","13-RIOG-T1-0.8-07102018-W","R1806421-001","07/10/2018","07/11/2018","NA","07/18/2018","","353.2","Water","NA","mg/L","NA","Nitrate+Nitrite as Nitrogen","1","0.0020","0.0007","0.563","="
"Riverkeepers, Inc","PEERS - Riverkeeper","R1806421","13-RIOG-T1-0.8-07102018-W","R1806421-001","07/10/2018","07/11/2018","NA","07/11/2018","","353.2","Water","NA","mg/L","14797-65-0","Nitrite as Nitrogen","1","0.010","0.007","ND","U"
"Riverkeepers, Inc","PEERS - Riverkeeper","R1806421","13-RIOG-T1-0.8-07102018-W","R1806421-001","07/10/2018","07/11/2018","NA","07/13/2018","","Calculation","Water","NA","mg/L","7727-37-9","Nitrogen, Total as Nitrogen","1","0.1","0.1","1.19","="
"Riverkeepers, Inc","PEERS - Riverkeeper","R1806421","13-RIOG-T1-0.8-07102018-W","R1806421-001","07/10/2018","07/11/2018","07/12/2018","07/13/2018","METHOD","351.2","Water","NA","mg/L","7727-37-9","Nitrogen, Total Kjeldahl (TKN)","1","0.10","0.08","0.62","="
"Riverkeepers, Inc","PEERS - Riverkeeper","R1806421","13-RIOG-T1-0.8-07102018-W","R1806421-001","07/10/2018","07/11/2018","07/13/2018","07/17/2018","METHOD","365.1","Water","NA","mg/L","7723-14-0","Phosphorus, Total","5","0.025","0.010","0.159","="
"Riverkeepers, Inc","PEERS - Riverkeeper","R1806421","13-RIOG-T1-0.8-07102018-W","R1806421-001","07/10/2018","07/11/2018","NA","07/12/2018","","180.1","Water","NA","NTU","NA","Turbidity","1","0.10","0.06","2.42","="
"Riverkeepers, Inc","PEERS - Riverkeeper","R1806421","13-POCH-2.6-07102018-W","R1806421-002","07/10/2018","07/11/2018","NA","07/11/2018","","ASTM D6919-09","Water","NA","mg/L","7664-41-7","Ammonia as Nitrogen","1","0.0050","0.0008","0.0221","="
"Riverkeepers, Inc","PEERS - Riverkeeper","R1806421","13-POCH-2.6-07102018-W","R1806421-002","07/10/2018","07/11/2018","NA","07/11/2018","","Calculation","Water","NA","mg/L","14797-55-8","Nitrate as Nitrogen","1","0.0100","0.0100","0.385","="
"Riverkeepers, Inc","PEERS - Riverkeeper","R1806421","13-POCH-2.6-07102018-W","R1806421-002","07/10/2018","07/11/2018","NA","07/18/2018","","353.2","Water","NA","mg/L","NA","Nitrate+Nitrite as Nitrogen","1","0.0020","0.0007","0.385","="
"Riverkeepers, Inc","PEERS - Riverkeeper","R1806421","13-POCH-2.6-07102018-W","R1806421-002","07/10/2018","07/11/2018","NA","07/11/2018","","353.2","Water","NA","mg/L","14797-65-0","Nitrite as Nitrogen","1","0.010","0.007","ND","U"
